Year	Month	DayofMonth	DayOfWeek	CRSDepTime	CRSArrTime	UniqueCarrier	FlightNum	TailNum	CRSElapsedTime	Origin	Dest	Distance	TaxiIn	TaxiOut	Cancelled	CancellationCode	Diverted	CarrierDelay	WeatherDelay	NASDelay	SecurityDelay	LateAircraftDelay
2004	1	26	1	630	915	UA	462	000000	105.0	ORD	CLT	599	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	4	7	1505	1725	UA	463	000000	260.0	ORD	PDX	1739	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	6	2	1505	1725	UA	463	000000	260.0	ORD	PDX	1739	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	7	3	1510	1732	UA	463	000000	262.0	ORD	PDX	1739	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	8	4	1510	1732	UA	463	000000	262.0	ORD	PDX	1739	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	6	2	2015	2159	UA	465	000000	164.0	DEN	PDX	992	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	7	3	2000	2149	UA	465	000000	169.0	DEN	PDX	992	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	8	4	2000	2149	UA	465	000000	169.0	DEN	PDX	992	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	4	7	1922	2301	UA	468	000000	159.0	ORD	TPA	1012	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	20	2	640	1230	UA	468	000000	230.0	SAN	ORD	1723	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	29	4	921	1505	UA	470	000000	224.0	SEA	ORD	1721	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	13	2	1845	2011	UA	471	000000	86.0	ORD	MSP	334	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	26	1	1845	2011	UA	471	000000	86.0	ORD	MSP	334	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	28	3	1845	2011	UA	471	000000	86.0	ORD	MSP	334	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	3	6	1722	1900	UA	473	000000	158.0	MHT	ORD	843	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	4	7	1722	1900	UA	473	000000	158.0	MHT	ORD	843	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	24	6	1010	1226	UA	474	000000	136.0	DFW	ORD	802	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	27	2	1330	1546	UA	474	000000	76.0	ORD	DTW	235	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	8	4	1020	1225	UA	478	000000	125.0	MCO	IAD	758	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	26	1	1730	1810	UA	481	000000	100.0	PIT	ORD	412	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	18	7	845	1015	UA	483	000000	90.0	ORD	MSP	334	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	26	1	845	1015	UA	483	000000	90.0	ORD	MSP	334	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	27	2	1545	1837	UA	484	000000	112.0	ORD	BWI	622	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	7	3	900	1444	UA	484	000000	224.0	PDX	ORD	1739	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	8	4	900	1444	UA	484	000000	224.0	PDX	ORD	1739	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	9	5	900	1444	UA	484	000000	224.0	PDX	ORD	1739	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	5	1	745	919	UA	486	000000	154.0	PVD	ORD	849	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	5	1	1200	1313	UA	487	000000	133.0	PHL	ORD	678	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	28	3	1200	1315	UA	487	000000	135.0	PHL	ORD	678	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	4	7	1455	1555	UA	489	000000	120.0	ATL	ORD	606	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	18	7	840	1348	UA	490	000000	188.0	DEN	IAD	1452	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	12	1	1305	1802	UA	492	N821UA	177.0	LAX	DFW	1235	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	21	3	1305	1802	UA	492	000000	177.0	LAX	DFW	1235	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	26	1	1344	1409	UA	493	N397UA	85.0	CMH	ORD	296	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	27	2	1344	1409	UA	493	000000	85.0	CMH	ORD	296	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	4	7	1335	1451	UA	493	000000	76.0	ORD	STL	258	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
2004	1	27	2	741	1045	UA	494	000000	124.0	ORD	MHT	843	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	8	4	1000	1114	UA	496	000000	74.0	MSP	ORD	334	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	19	1	1000	1114	UA	496	000000	74.0	MSP	ORD	334	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	27	2	1000	1114	UA	496	000000	74.0	MSP	ORD	334	0.0	0.0	1	Weather	0	0.0	0.0	0.0	0.0	0.0
2004	1	9	5	842	1017	UA	497	N834UA	155.0	DEN	SJC	948	0.0	0.0	1	Carrier	0	0.0	0.0	0.0	0.0	0.0
2004	1	4	7	1601	1815	UA	498	000000	134.0	DFW	ORD	802	0.0	0.0	1	NAS	0	0.0	0.0	0.0	0.0	0.0
